name,country,county,lat,lng,total_routes,rocktype,already_on_map,url
Belstone Tor,England,Devon,50.71155,-3.96392,2,Granite,,https://www.ukclimbing.com/logbook/crags/belstone_tor-20387
Greator Rocks,England,Devon,50.59359,-3.77124,66,Granite,,https://www.ukclimbing.com/logbook/crags/greator_rocks-1476
Leigh Tor,England,Devon,50.52864,-3.82093,44,Quartzite,,https://www.ukclimbing.com/logbook/crags/leigh_tor-3743
Meldon Reservoir,England,Devon,50.7032,-4.03954,4,Ice,,https://www.ukclimbing.com/logbook/crags/meldon_reservoir-17453
The Exmoor Coast Traverse,England,Devon,51.2454,-3.7837,45,Sandstone (hard),yes,https://www.ukclimbing.com/logbook/crags/the_exmoor_coast_traverse-1242
Tristis Rock,England,Devon,50.4241,-3.9171,7,Granite,,https://www.ukclimbing.com/logbook/crags/tristis_rock-24439
Wintour's Leap,England,Gloucestershire,51.6617,-2.6636,541,Limestone,,https://www.ukclimbing.com/logbook/crags/wintours_leap-51
Alderman Rocks,England,Greater Manchester,53.538,-1.9781,63,Gritstone,yes,https://www.ukclimbing.com/logbook/crags/alderman_rocks-1280
Dovestones Edge,England,Greater Manchester,53.5329,-1.95926,118,Gritstone,,https://www.ukclimbing.com/logbook/crags/dovestones_edge-108
Dovestones Quarry,England,Greater Manchester,53.5306,-1.9653,140,Grit (quarried),,https://www.ukclimbing.com/logbook/crags/dovestones_quarry-120
Dovestones Skyline,England,Greater Manchester,53.5245,-1.961,120,Gritstone,yes,https://www.ukclimbing.com/logbook/crags/dovestones_skyline-8833
Red Brook,England,Greater Manchester,53.65741,-2.35317,2,Gritstone,,https://www.ukclimbing.com/logbook/crags/red_brook-25736
Standing Stones,England,Greater Manchester,53.5438,-1.9432,129,Gritstone,yes,https://www.ukclimbing.com/logbook/crags/standing_stones-135
The Ravenstones,England,Greater Manchester,53.5398,-1.946,177,Gritstone,yes,https://www.ukclimbing.com/logbook/crags/the_ravenstones-27300
Wilderness Rocks,England,Greater Manchester,53.511,-1.9584,52,Gritstone,yes,https://www.ukclimbing.com/logbook/crags/wilderness_rocks-1335
Jack Scout Crag,England,Lancashire,54.1561,-2.8314,49,Limestone,,https://www.ukclimbing.com/logbook/crags/jack_scout_crag-1251
Pendle Hill,England,Lancashire,53.8684,-2.2986,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/pendle_hill-13964
Greetwell Quarry,England,Lincolnshire,53.2383,-0.4956,42,Limestone,,https://www.ukclimbing.com/logbook/crags/greetwell_quarry-12366
Carlin Gill,England,North Yorkshire,54.3873,-2.54895,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/carlin_gill-17303
Foss Gill (Airton / Calton),England,North Yorkshire,54.0303,-2.14246,2,Limestone,,https://www.ukclimbing.com/logbook/crags/foss_gill_airton__calton-31122
Gordale Scar,England,North Yorkshire,54.0736,-2.13,250,Limestone,,https://www.ukclimbing.com/logbook/crags/gordale_scar-605
Hell Gill,England,North Yorkshire,54.36726,-2.33006,1,Limestone,,https://www.ukclimbing.com/logbook/crags/hell_gill_north_yorkshire-27020
Pen-y-ghent,England,North Yorkshire,54.1559,-2.2487,38,Gritstone,,https://www.ukclimbing.com/logbook/crags/pen-y-ghent-1322
Strans gill,England,North Yorkshire,54.205,-2.12861,1,Limestone,yes,https://www.ukclimbing.com/logbook/crags/strans_gill-10080
