Name,Description,Walk time,Location,Tags
"SHARRAH POOL, R DART","A legendary pool on this wild and wonderful stretch of the valley. As for Horseshoe Falls (see listing) but head upstream 1½ miles. The path climbs and then down then it’s about 500m beyond the stile, obvious on the R. 500m upstream are the Mel Pools (50.5346, -3.8447) and a range of smaller pools, including a few good chutes if you have an inner tube. There is a L-bank path back which takes in Bellpool and Wellsfoot (both only accessible from L bank) so this could make a good loop back to Newbridge. It’s also possible to descend from Aish Tor or Venford, on each side of the valley. Check OpenStreetMap for paths.",40 mins,"50.5301, -3.8396","[""Nature / wild flowers"", ""Long swim possible"", ""Secluded, remote"", ""Walk in"", ""Waterfall""]"
HEXWORTHY BRIDGE & WEEK FORD,"One of the easiest and most beautiful West Dart swims; a large sandy pool below a stone bridge, with grassy banks and easy parking by the lane. From B3357 W of Dartmeet, turn L at The Forest Inn sign and continue down (past Huccaby Farm camping, PL20 6SB) to parking on R before the bridge. Wild campers sometimes head downstream to the wooded glades around Week Ford (50.5364, -3.8895), a pretty walk down from Combestone Tor.",1 mins,"50.54048, -3.8939","[""Long swim possible"", ""Kids / paddling"", ""Campsite"", ""Food / facilities"", ""Dark skies""]"
"SWINCOMBE MEET, WEST DART","A large sandy pool and beach with huge stepping stones where the Swincombe joins on a bend. From Hexworthy Bridge (see listing) continue ½ mile, past The Forest Inn (PL20 6SD), and turn R at the top (dir Sherberton). Park by cattle grid at end. Continue W down the lane with open-cast gully and other remains of Gobbet tin mine L. Pass Wydemeet House (an upmarket B&B, PL20 6SF) and take bridleway gate R after bridge over Swincombe. Cross the stream by stepping stones, and continue 500m to the West Dart.",20 mins,"50.5476, -3.9098","[""Long swim possible"", ""Kids / paddling""]"
"YAR TOR, DARTMEET","Head upstream 750m to escape the crowds at Dartmeet and find this sandy beach and pool by a grassy meadow, below Yar Tor. From the far end of the car park, beyond the toilets, take the path to the R of Badger’s Holt holiday accommodation (PL20 6SG) and then drop down again to follow the riverside path 500m.",15 mins,"50.5522, -3.8774","[""Long swim possible""]"
EAST DART WATERFALL & SANDY HOLE,"A moorland walk to a granite-lined plunge pool below a waterfall. 500m upstream is a deep peat-cut circular pool, just before Sandy Hole Pass (50.6143, -3.9472); tinners straightened the stream just above so it flows faster. Following the bridleway/ track N from the National Park Visitor Centre in Postbridge (PL20 6TH, paid parking) over the saddle of Broad Down and then N down to the rocky section of the river straight ahead.",45 mins,"50.6128, -3.9411","[""Long swim possible"", ""Walk in"", ""Secluded, remote""]"
FERNWORTHY RESERVOIR,"Remote reservoir surrounded by woodland with a stone circle. Silty shores, depending on water level, and often warm, but No Swimming, so for info only.",3 mins,"50.6387, -3.893","[""Church / chapel"", ""Secluded, remote""]"
BECKA BROOK LAKES,"Hidden lakes hidden in woodland on Becka Brook open access land. From Hound Tor ancient village (50.5954, -3.7726) continue on path 500m to descend to stream. Find gate door into woods on R and head upstream 300m. It is private land, so be very respectful. Opposite bank is open access land.",30 mins,"50.5931, -3.7655","[""Nature / wild flowers"", ""Walk in"", ""Long swim possible"", ""Private land, be discreet""]"
HAYTOR QUARRY,"Sheltered, sun-trap quarry pools, just big enough for a dip, but quite busy. Scramble about on Haytor afterwards and look for the granite tramway that runs from here, made entirely from stone – rails, points and all. B3387, 3 miles from Bovey Tracey, find free car park on L just after the Visitor Centre (TQ13 9XT). It’s about 500m, beyond and to R of Haytor Rocks.",10 mins,"50.5835, -3.7529","[""Heritage / ruins"", ""Walk in""]"
"SHILLEY POOL, THROWLEIGH","Series of small plunge pools in brook at the edge of the moor. Paddling for children and a great place for picnics. 1km NW of Throwleigh, at junction, find rough track on L, 100m before cattle grid and stream bridge. Follow Blackaton Brook up onto moor 750m.",10 mins,"50.705, -3.9093","[""Kids / paddling""]"
"SCORHILL DOWN, R TEIGN","Set amid heather-covered moorland, some secret pools, stone bridges and a stone circle. Follow tiny lanes 4 miles W of Chagford. 170m past the Round Pound settlement circle on roadside R park on R. There is a little hidden swim spot in the cleave directly below; follow the wall then scramble down to 50.6666, -3.8946. From parking walk on 20 mins to find the Teigne-ver clapper bridge. There is pool 100m downstream, at the stone bridge (50.6677, -3.9053) and another at the Tolmen holed stone, another 50m down. It’s then 300m N to the circle, crossing another stone bridge.",5 mins,"50.6666, -3.8946","[""Walk in""]"
CHAGFORD SWIMMING POOL,"Community run, river-fed swimming pool on the banks of the Teign. £5.50 per adult. Rushford, Chagford, Dartmoor National Park TQ13 8DA. 01647 432929",2 mins,"50.6810, -3.8326","[""Entry fee""]"
"SALMON LEAPS, R TEIGN","Long river pool above weir in woods beneath Hunter’s Tor, Castle Drogo. Three square tubs then cascade down – great for a spa bath. 150m S of Sandy Park Inn, TQ13 8JW, find gates/path on L before Dogmarsh Br. Follow river downstream 750m. Continue another mile to Fingle Bridge. Also explore upstream, path from parking leads to hidden weir and pool in woods (50.6866, -3.8267).",10 mins,"50.6926, -3.8097","[""Long swim possible"", ""Nature / wild flowers"", ""Take extra care""]"
"FINGLE BRIDGE, TEIGN","A popular, thickly wooded gorge with stone bridge and riverside pub. Walk upstream 500m to find a deep stretch above a small weir. Or 2km to the Salmon Leaps. Follow signs 1 mile E of Castle Drogo/ Drewsteignton (Fingle Bridge Inn, EX6 6PW, 01647 281287).",5 mins,"50.6929, -3.7848","[""Nature / wild flowers"", ""Long swim possible"", ""Pub""]"
TOPSHAM &TURF LOCK,"The Exeter ship canal is prettier and cleaner than it sounds, fed from the Exe and surrounded by nature reserve. No Swimming, but locals jump and swim here, and paddle board. Pass the Swan’s Nest pub, Station Rd, EX6 8DZ, to the car park at the road end. Follow the towpath 600m upstream/N to find footbridge/quay. The little Topsham ferry is just beyond. The superbly located Turf hotel/pub is 2km S on the towpath, with another popular lock (50.6651, -3.4675).",10 mins,"50.6819, -3.4701","[""Long swim possible"", ""Good for SUPs"", ""Pub"", ""Uncertain access"", ""Nature / wild flowers""]"
"SQUABMOOR RESERVOIR, BUDLEIGH","Lily pond and reservoir high on East Budleigh Common. No Swimming and anglers, so be discreet if you choose to dip. Walkers can also view the fenced-off sand lakes at Black Hill 1km N (50.6620, -3.3694).",5 mins,"50.6486, -3.3592","[""Sunset / view"", ""Long swim possible"", ""Uncertain access""]"
"OTTERTON, R OTTER",Riverside meadows and deeper pools both above and below the weir with shallower gravel beaches further along. On an evening walk downstream from the bridge you might spot otters or beavers. From Otterton Mill shop (EX9 7HG) cross the river and head upstream on riverside path 300m.,5 mins,"50.662, -3.3022","[""Long swim possible"", ""Kids / paddling""]"
"COLATON RALEIGH, R OTTER","Lovely little beach and deep corner pool beneath red cliffs strung with ivy and ferns. Turn down Church Rd off B3178, opposite Woods Village Shop. Pass church and follow path from bottom of road (near farm) to river and downstream for 5 mins. You could also try the beaches 1 mile N at the bend 50.6862, -3.2957 (path off Church Rd).",10 mins,"50.6745, -3.2925","[""Long swim possible"", ""Kids / paddling""]"
"FLUXTON WEIR, TIPTON, R OTTER,","Good pool and weir by ancient mill in pastures. Calm, deep water and a flume like a jacuzzi. Take path at 50.7213, -3.2944 on Tipton Vale, EX11 1RW (car park behind bus stop 80m S). Follow river upstream ½ mile to weir, bridge and mill. To explore more: Continue 2km mile upstream along the river to find a deep corner pool on the inside of a bend with rope swing 50.7435, -3.2835 (or quicker access to this from S end of Ottery Saint Mary Millennium Green, off Mill Street, EX11 1YA). Or downstream, a mile S of Tipton St John, easy river beach and paddling at Harpford Bridge, EX10 0NQ (50.7052, -3.2913)",10 mins,"50.7267, -3.2891","[""Long swim possible"", ""Walk in""]"
"CULLEVER STEPS, EAST OKEMENT","Small, deep, popular pool by large flat rock in a pretty little valley below Scarey Tor with banks for a picnic. From Okehampton centre follow red army signs S to ‘Camp’, past range warden hut, to park at top of track on L (50.7105, -3.9846, EX20 1QR). Descend 600m to T-junction and continue straight over onto grass and down to pool 50m.",15 mins,"50.7132, -3.9766","[""Long swim possible"", ""Kids / paddling""]"
MELDON QUARRY,"Impressive wrought-iron viaduct built in the 1870s (now on the Granite Way/NCN27, between Okehampton and Lydford) towers above a milky-green quarry pool with steep rock cliffs, popular among local swimmers. The land is private and access is permissive. Park at Meldon Reservoir car park, 3 miles SW of Okehampton on B3260 (EX20 4LU). Descend L on path 500m for quarry. The reservoir and West Okement stream are further up the valley to explore.",10 mins,"50.7109, -4.035","[""Heritage / ruins"", ""On a cycle route"", ""Uncertain access"", ""Long swim possible""]"
"ABBEYFORD WOOD, R OKEMENT","Bubbly stream pool and rapids in the woods, waist high. Park at S car park (EX20 1RJ) and follow forestry track with barrier 750m to find just off to R.",12 mins,"50.7552, -3.9925","[""Long swim possible"", ""Walk in""]"
"SHEEPWASH WOODLAND, R TORRIDGE","Pretty section of the young Torridge with a large, deep swimming hole below Boyton Bridge, the old sheep dip. Find parking and path on downstream L bank. Upstream on the L bank the land is community-managed with dormice, mature trees and barn owls at dusk (Sheepwash Woodland, donated by the Pedrick family) and there are many more sandy beaches and deep pools. Find path 100m N along lane, over stile in fence. Good pub in village (Half Moon Inn, EX21 5NE, 01409 231376).",5 mins,"50.8314, -4.1507","[""Long swim possible"", ""Pub"", ""On a cycle route"", ""Nature / wild flowers""]"
MEETH QUARRY,"Explore the newly reclaimed clay lakes - deep, clear and beautiful. Just off the Tarka Trail. No Swimming. Park on W side of reserve, the quietest entrance point, EX20 3QN.",5 mins,"50.8505, -4.0999","[""Nature / wild flowers"", ""Uncertain access""]"
"BONDSTONES FORD, R TORRIDGE","An historic byway fords the river here, a rare point of public access, with a confluence pool 100m upstream. You can fish for trout and salmon (permits Stafford Moor Fishery, £10). Remote lane/byway beyond EX19 8SN with tricky parking, so best on foot/by cycle.",5 mins,"50.8474, -4.0578","[""Long swim possible"", ""Uncertain access""]"
"BEAFORD BRIDGE, R TORRIDGE",Remote wooded stretch of river with ladder steps down to deeper water above old weir. Between Merton (A386) and Beaford (A3124). Climb lane 300m from Beaford Bridge (dir Beaford) and follow path on R for 10 mins down through woods. Also a good place for canoe launch.,10 mins,"50.9083, -4.0699","[""Long swim possible"", ""Good for SUPs"", ""Nature / wild flowers""]"
"BLINSHAM, GREAT TORRINGTON","A small, secluded, sandy bay on the lively Torridge. Once a ford, so it is mainly shallow with boulders and rapids but also deeper sections. A good place to launch a canoe. Turn R off A3124, 2 miles SW of Torrington, signed Blinsham and conifer nursery. After 800m find gates on R with parking area. Follow middle trackway down to river 200m.",2 mins,"50.9295, -4.1105","[""Long swim possible"", ""On a cycle route""]"
"TORRINGTON COMMON, TORRINGTON","A long stretch of quiet riverside meadow below the town, fast flowing and stony but the setting for many of Tarka’s adventures. Access from Castle St car park EX38 8HB, through archway and down to the riverbank admiring the sweeping views. Downstream, Ladies Pool has a concrete platform, built in 1928 for the swimming women of Torrington; a second pool 200m along has a rope swing, and you can also swim below the weir beyond the road bridge. For closer access to the weir, park near the road bridge and Torridge Inn (EX38 8AW); for medieval Rothern Bridge, further downstream, park near Puffing Billy café (EX38 8JD), though this is a bit close to the sewage plant. Bring river shoes.",10 mins,"50.9491, -4.1453","[""Long swim possible"", ""Sunset / view""]"
"UMBERLEIGH, R TAW","Pastoral stretch of the lively Taw, accessible by train. Pass train station N on B3227. Park at the primary school on R (EX37 9AD). Cross road and take path opp, on R of the tabernacle, down to the river and upstream. There’s an even more beautiful river stretch at the next station, Chapelton (51.0173, -4.0228), but No Swimming so go downstream to tidal Bishop Tawton, towards Barnstaple.",5 mins,"51.0001, -3.9826","[""Long swim possible"", ""Uncertain access""]"
"PINKERY POND, CHALLACOMBE","High, lonely, open stretch of moor known as The Chains, with a large lake. Look out for the overflow tunnel hewn through the rocks on the SE side. The lake was created for landowner John Knight in 1830 by damming the headwaters of the river Barle, and intended to feed a large waterwheel via canal, powering an inclined railway carrying iron ore from Exmoor to Porlock Weir. Between Challacombe and Simonsbath (TA24 7LL on B3358) find layby car park on L, just after the gated entrance to Pinkery Centre for Outdoor Learning. This driveway/track takes you past the centre and all the way up to the pond.",30 mins,"51.1658, -3.8275","[""Long swim possible"", ""Secluded, remote"", ""Church / chapel"", ""Kids / paddling"", ""Dark skies""]"
"WATERSMEET HOUSE, R EAST LYN","A fine series of pools, waterfalls and woods upstream of a Victorian fishing lodge, now a NT tea room. Cash-only pay car park on the road just above, EX35 6NT. Descend and cross both footbridges. 300m upstream, on the R bank (L as you go upstream), there are a series of rocky pools beneath the path. Another ½ mile, about 500m before Ash Bridge, find several beachy areas and deep corner pools with lots of paddling for kids.",5 mins,"51.2262, -3.7908","[""Food / facilities"", ""Nature / wild flowers"", ""Waterfall"", ""Kids / paddling""]"
"LONG POOL, R EAST LYN","A deep, dark, long pool in a small, verdant ravine beneath a waterfall. Some good jumps for the brave. Park as for Watersmeet House (see listing); this is closer to the Rockford Inn end of the woods (EX35 6PT, 01598 741214) but parking there is even trickier. From Ash Bridge on R bank, it’s another ½ mile upstream, just below a wooden bench on the opp bank. There are further pools below another small waterfall a further ½ mile upstream (Ash Pool).",15 mins,"51.2204, -3.7871","[""Jump or rope swing"", ""Waterfall"", ""Long swim possible"", ""Nature / wild flowers"", ""Pub""]"
